,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,SHIB-USD,DOGE-USD
2024-02-27,0.7560435105574478,1.231666682014421e-12,0.23463097727112156,8.995183990918512e-14,0.009325512169357267,1.6383612976579115e-13,5.879368284748942e-13
2024-02-28,0.7560435136009412,2.6242792627886935e-11,0.23463097602594948,2.320279332539757e-12,0.00932551032741094,3.735538683973348e-12,1.3399760367632403e-11
2024-02-29,0.7562093800587338,4.548611446307778e-12,0.23456102635326326,4.439077419225842e-13,0.009229593580228122,6.013776237415051e-13,2.180981651779258e-12
2024-03-01,0.7562093799536587,3.50866629658563e-12,0.2345610263598683,3.827548988584277e-13,0.00922959368034993,5.013335590902699e-13,1.7303538095160124e-12
2024-03-04,0.7562093799324568,3.124784439328409e-12,0.2345610263621163,3.6341980696700986e-13,0.009229593699600767,4.865748002810435e-13,1.851363970740167e-12
2024-03-05,0.7562093799989935,4.694132597133404e-12,0.2345610263557239,5.614007587480684e-13,0.009229593635294246,9.984096540798781e-13,3.734308779088864e-12
2024-03-06,0.38966370137204825,0.4024263303966189,0.20790996821599902,9.67779503919457e-13,4.417143259618622e-12,7.460766229408654e-12,2.488114394492261e-12
2024-03-07,0.38966370157358876,0.4024263303108171,0.20790996811211657,2.3794946493857944e-13,1.0230998412132625e-12,1.6289347112059738e-12,5.877281338479243e-13
2024-03-08,0.38966370159125496,0.40242633030862685,0.20790996809006948,6.688911455286634e-13,3.065531641709286e-12,4.583742699352837e-12,1.7302886698967867e-12
2024-03-11,0.38966370159819014,0.4024263303194255,0.20790996807107476,7.512676426915665e-13,3.287397841108223e-12,5.342440315666947e-12,1.9286176160349638e-12
2024-03-12,0.39035970310863355,0.4046139909961627,0.20502630589470403,3.403089487619736e-14,9.895328155328616e-14,2.615001719889823e-13,1.0522201228341737e-13
2024-03-13,0.3903597031101954,0.40461399099412604,0.20502630589501233,5.5482138463926183e-14,1.5908328459159863e-13,3.1908857939961686e-13,1.3256865197751497e-13
2024-03-14,0.39035970304137213,0.40461399079752963,0.20502630615476503,7.218476687917215e-13,1.8629653210061666e-12,2.0110734943030846e-12,1.7372785471246213e-12
2024-03-15,0.3903597030331078,0.40461399076131976,0.2050263061962179,1.0430716341699935e-12,2.6083908267795693e-12,3.3117617214067353e-12,2.3911885595992545e-12
2024-03-18,0.3903597030374215,0.404613990693869,0.20502630625805698,1.4345832215461116e-12,2.9094728138983045e-12,3.6920336487240505e-12,2.61639738102658e-12
2024-03-19,0.571770185575373,0.2967906250922898,0.1314391893225802,5.095092779697877e-13,9.627140438705587e-13,7.990779917475676e-12,2.9408784490998245e-13
